100KHZ_X,100KHZ_Y,1KHZ_X,1KHZ_Y,1MHZ_X,1MHZ_Y
-7.864502623,437.2703665,-7.864502623,432.9097407,-7.779245847,438.9981616
-7.71834815,436.4064689,-7.71834815,432.0458431,-7.535655058,436.9412627
-7.572193676,435.3368815,-7.572193676,431.0996696,-7.231166572,434.4112769
-7.426039203,434.390708,-7.426039203,430.0300821,-6.951037164,431.0173937
-7.279884729,432.9508787,-7.279884729,428.7548048,-6.658728217,425.8340083
-7.133730256,431.4699114,-7.133730256,427.3149755,-6.402957888,419.6633114
-6.987575782,429.5775644,-6.987575782,425.3403525,-6.098469402,406.0877782
-6.841421309,427.2326996,-6.841421309,423.2834535,-5.879237691,392.5945209
-6.710926243,424.4235632,-6.707446375,420.6012573,-5.806160455,389.6325864
-6.58565098,421.7366655,-6.58565098,417.491226,-5.745262757,387.0820317
-6.476035125,418.7994138,-6.476035125,414.6650469,-5.68436506,383.1327857
-6.419197274,416.0843071,-6.394258217,411.1653802,-5.586928744,379.2658156
-6.342060191,413.2046486,-6.299431803,408.0006942,-5.517911354,375.8513633
-6.268982954,410.0370242,-6.262893184,404.7919318,-5.428594731,372.45748
-6.205040372,406.1803386,-6.183726178,401.8917043,-5.355517494,369.8040804
-6.122828481,403.0764781,-6.122828481,398.1275792,-5.262141025,363.8802113
-6.074110323,399.8677157,-6.098469402,394.6102819,-5.160644863,359.6841375
-6.001033086,396.420353,-6.049751244,390.9078638,-5.038849469,354.624166
-5.952314928,391.8128993,-5.988853546,386.4786747,-4.7708996,332.4096571
-5.888981323,388.6617301,-5.90359677,382.8242508,-4.718121596,325.5396146
-5.820775902,385.0580431,-5.830519533,380.0885752,-4.594296278,314.2678082
-5.757442297,381.4666975,-5.745262757,377.0855027,-4.539488351,306.862972
-5.698980507,378.0481314,-5.696544599,374.1235682,-4.466411114,299.1619422
-5.635646902,374.8640518,-5.579969007,370.544564,-4.405513417,293.4108527
-5.526031047,371.3467546,-5.440774271,366.595318,-4.344615719,284.1548074
-5.428594731,368.631648,-5.379876573,363.6333835,-4.283718022,280.946045
-5.349427725,365.3611786,-5.245901639,360.2765244,-4.283718022,278.2309383
-5.282440258,362.522658,-5.22154256,357.3639554,-4.239059711,275.3512798
-5.136285784,356.2902542,-5.148465324,354.0070963,-4.198461246,271.6282926
-5.099747166,354.1305102,-5.090003534,351.1932585,-4.165982474,266.5477522
-5.026669929,350.2224022,-5.038849469,348.2066412,-4.125384009,263.5858177
-4.965772232,346.9725018,-4.977951771,344.7757337,-4.076665851,259.6571407
-4.884575302,339.7733554,-4.977951771,342.3239102,-4.015768154,254.5354622
-4.78307914,330.4761721,-4.938977245,339.1974237,-4.027947693,257.4973967
-4.661283745,318.6119789,-4.860216223,335.4538676,-3.945126825,248.512862
-4.667373515,314.8108296,-4.836669113,331.2989317,-3.88179322,245.2794169
-4.636924666,311.6349776,-4.778207324,327.3990513,-3.814805753,241.3918778
-4.600386048,308.5907671,-4.78307914,323.6472675,-3.699100128,238.3270984
-4.576026969,305.3820047,-4.722181443,320.1094013,-3.577304733,235.8999576
-4.531368658,301.3504827,-4.734360982,316.0778793,-3.455509339,233.9664725
-4.466411114,295.9202695,-4.710001903,313.5273246,-3.345893483,233.5550928
-4.466411114,291.9915924,-4.664763614,309.5780786,-2.809993747,235.03606
-4.417692956,288.9761785,-4.604445894,305.9167984,-2.52986434,232.1975394
-4.409573263,284.4839112,-4.56384743,302.1041305,-2.481146182,236.0233715
-4.368974798,281.1105969,-4.554103798,298.6682865,-1.933066906,238.5739262
-4.344615719,277.9841105,-4.539488351,295.0152339,-1.689476117,240.959929
-4.295897561,274.0348644,-4.496859962,291.3128158,-1.39716717,235.8176816
-4.222820325,267.3705118,-4.454231574,288.1040534,-0.38452546,249.9162548
-4.210640785,263.7915076,-4.466411114,285.1421189,-0.288829079,251.5735277
-4.174102167,260.952987,-4.414213088,281.2986562,0.149634342,274.6519341
-4.125384009,256.2632574,-4.368974798,276.7499711,0.454122828,301.6795866
-4.10102493,253.5481507,-4.33243618,273.3560878,0.515020526,307.7268695
-4.040127233,249.4754908,-4.295897561,270.2501703,0.575918223,314.2678082
-3.960960226,243.8601566,-4.259358943,266.3832003,0.88040671,338.580354
-3.918331838,241.2067569,-4.232563956,262.1377608,0.941304407,342.8381349
-3.820895522,237.3192179,-4.178973983,257.8429558,1.014381644,347.3427436
-3.699100128,234.5424043,-4.130255825,253.2519573,1.079339187,352.0324733
-3.406791181,231.086814,-4.076665851,248.8995591,1.306690591,368.0762852
-3.260636707,231.086814,-4.027947693,245.2382789,1.525922301,379.5949195
-3.017045918,231.8684356,-3.986189272,241.7004127,1.574640459,381.6518184
-2.870891444,232.2798154,-3.893972759,238.0391325,1.672076775,385.8478923
-2.73691651,232.5677812,-3.802626213,234.6966717,1.745154011,388.7275509
-2.554223418,233.3082649,-3.65038197,232.6911952,1.818231248,391.3768367
-2.408068945,233.9253346,-3.504227496,232.0329875,1.903488024,393.6229704
-2.261914471,234.6658182,-3.358073023,232.1152635,2.037462958,396.9551467
-2.115759998,235.03606,-3.211918549,232.4032293,2.37037037,403.6194994
-1.969605524,236.0233715,-3.065764076,232.5266433,2.439387761,405.7998123
-1.823451051,236.9284071,-2.919609602,233.061437,2.585542234,407.8567113
-1.677296577,237.5454768,-2.773455129,233.4728168,2.710382514,410.6540939
-1.531142104,238.4916503,-2.627300655,233.9253346,2.829133023,414.6650469
-1.382551722,239.3308651,-2.481146182,234.7480942,2.933877063,417.5405916
-1.238833157,239.8903416,-2.334991708,235.077198,3.036185194,420.9468163
-1.068319604,241.001067,-2.188837235,235.9822335,3.145801049,422.9954877
-0.922165131,241.7826886,-2.042682761,236.6815792,3.243237365,425.5460424
-0.763831118,243.2636559,-1.896528288,237.4632008,3.389391839,427.3561135
-0.637163907,243.9712291,-1.750373814,238.4505123,3.535546312,429.3307365
-0.544599407,244.9091751,-1.60421934,239.1498579,3.681700786,430.6471518
-0.142674605,254.2886343,-1.458064867,240.0548935,3.827855259,431.7578773
-0.069597368,257.4973967,-1.311910393,240.6719632,3.986189272,432.3063837
0.015659408,261.2820908,-1.16575592,241.3301709,4.111464535,433.2741057
0.083864829,265.8105596,-1.019601446,242.3997583,4.26631868,434.5963979
0.157754035,270.3324463,-0.873446973,243.1813799,4.412473153,435.4602954
0.1983525,273.2943808,-0.727292499,244.3743813,4.558627627,436.7252883
0.254378381,280.3536581,-0.581138026,245.5673827,4.7047821,437.0646766
0.307968355,285.5123607,-0.434983552,247.007212,4.850936574,438.257678
0.388005329,290.8544211,-0.301008618,249.0558834,4.997091047,438.6690578
0.461082565,298.8586966,-0.179213223,251.5735277,5.143245521,439.5329554
