AgingMOSFET0X,AgingMOSFET0Y,AgingMOSFET1X,AgingMOSFET1Y,AgingMOSFET2X,AgingMOSFET2Y,AgingMOSFET3X,AgingMOSFET3Y,AgingMOSFET4X,AgingMOSFET4Y,AgingMOSFET5X,AgingMOSFET5Y
1.067102286,-2.714035782,1.233913736,-0.513933838,1.174338218,3.913024328,1.442428048,1.233429015,0.909558139,-0.471343692,1.025399424,-0.464342572
0.399856488,-3.019751353,0.191342176,-2.185451226,3.021179267,4.583131523,3.736085479,1.521641786,3.527571167,-0.158043574,3.527571167,-0.304872618
3.319056856,-2.412987624,0.67787557,-1.67787003,2.484999608,3.958031528,6.446771535,1.670999012,6.029742911,-0.085115242,6.029742911,-0.423502706
5.612714287,-2.010423227,1.233913736,-1.187791633,5.612714287,4.57646379,8.948943279,1.781850078,8.531914655,0.060741424,8.531914655,-0.621867771
8.114886031,-1.701207096,2.818622507,-0.102618042,7.489343095,4.605635123,11.45111502,1.962712343,10.20002915,0.334951955,11.0340864,-0.732718837
10.61705777,-1.450333631,3.458066397,0.644168086,8.323400343,5.124884852,13.95328677,2.172745941,11.86814365,0.795859018,13.53625814,-0.880520258
13.11922952,-1.1936259,4.361628415,1.262600348,9.574486215,5.544952049,16.45545851,2.306934074,13.95328677,1.201340549,16.03842989,-1.117780434
15.41288695,-0.788727796,5.404199975,1.752678745,10.40854346,5.988356313,18.95763025,2.36527674,16.03842989,1.507639546,18.54060163,-1.292808433
17.28951576,-0.443922639,6.655285847,2.266094207,11.24260071,6.525108842,21.459802,2.225254341,18.54060163,1.723507411,21.04277337,-1.362819632
18.74911594,-0.044275375,7.697857407,2.732835537,11.45111502,6.145881511,23.92027088,2.165744821,21.04277337,1.921872477,23.54494512,-1.292808433
20.00020181,0.387460355,8.531914655,3.117897134,13.92349901,6.073369912,26.46414549,2.155243141,23.54494512,2.026889276,26.04711686,-1.100277634
21.25128769,0.807527552,9.365971903,3.607975531,16.08013275,6.072369752,28.96631723,2.225254341,26.04711686,1.770181544,28.54928861,-1.205294433
22.71088787,1.280103148,9.783000527,4.185567926,17.70654438,5.620797515,31.46848897,2.096900475,28.54928861,1.565982213,31.05146035,-1.199460167
24.58751668,1.745677625,10.20002915,4.798165922,20.23850388,5.483275516,33.97066072,2.056060609,31.05146035,1.50180528,33.55363209,-1.082774834
26.88117411,2.126071808,10.61705777,5.410763917,22.29385925,5.340752718,36.47283246,1.93354101,33.55363209,1.379285681,36.05580384,-1.012763635
29.17483154,2.522801939,11.10359117,5.988356313,23.54494512,5.095713519,38.9750042,1.811021411,36.05580384,1.344280081,38.55797558,-1.2111287
33.13660347,3.246251,12.5532621,7.073529904,23.96197374,4.658143523,41.26866164,1.857695544,38.55797558,1.513473813,41.06014732,-1.467836431
36.05580384,3.74799793,15.20437264,7.283563503,24.37900237,4.273081926,44.81340494,1.848944144,41.06014732,1.729341678,43.56231907,-1.216962966
38.34946127,4.182067366,17.70654438,7.417751635,24.72652622,3.67798673,47.73260531,1.694336078,43.56231907,1.793518611,46.06449081,-1.286974166
41.89420457,4.768994588,20.20871613,7.487762835,26.46414549,3.333764999,50.23477705,1.746844478,46.06449081,1.886866877,48.56666256,-1.415328032
44.04885246,4.856508588,22.50237356,7.780643019,28.61879338,3.117897134,52.52843448,1.878698904,48.56666256,1.980215143,51.0688343,-1.275305633
46.69003375,5.218233118,24.37900237,8.211211896,31.20039914,2.901862576,56.2816921,2.032723542,51.0688343,2.044392076,53.36249173,-1.040768114
48.56666256,5.620797515,26.04711686,8.596273493,33.70257089,3.407943532,58.57534953,2.102734742,53.57100604,2.038557809,55.65614916,-0.598530704
50.23477705,5.997107713,27.92374567,9.04084461,36.26431815,3.087267234,61.07752127,2.131906075,56.07317779,1.939375276,58.15832091,-0.76189017
51.69437724,6.408423509,30.2174031,9.529756153,37.93243264,3.654649664,63.57969302,2.149408875,58.57534953,1.840192744,60.66049265,-0.785227236
52.94546311,6.875164839,32.09403191,9.93232055,39.18351852,4.121390993,66.08186476,2.184414475,61.07752127,1.805187144,63.16266439,-0.645204837
54.19654898,7.388580302,33.34511778,10.36405628,41.06014732,4.494784057,68.58403651,2.219420074,63.57969302,1.781850078,65.66483614,-0.680210437
55.23912054,7.826150299,34.59620365,10.80746054,43.56231907,4.436441391,71.08620825,2.29526554,66.08186476,1.647661945,67.95849357,-0.998761395
56.2816921,8.287057362,36.26431815,11.07817051,45.43894788,4.646474989,73.58837999,2.406116606,68.58403651,1.618490612,70.252151,-1.356985365
57.32426366,8.718793092,37.72391833,10.41656468,46.48151944,4.220573526,76.09055174,2.353608207,71.08620825,1.536810879,72.75432275,-0.966089502
58.36683522,9.208871488,38.14094696,9.996497482,47.73260531,3.800506329,78.59272348,2.429453673,73.58837999,1.600987812,75.25649449,-0.76189017
59.61792109,9.757292551,38.55797558,9.383899487,50.20498929,4.308087525,81.09489522,2.534470472,76.09055174,1.571816479,77.75866623,-0.516850972
60.86900696,10.32905068,38.9750042,8.788804292,52.31992017,4.55896099,83.59706697,2.586978872,78.59272348,1.659330479,80.26083798,-0.557690838
61.91157852,10.81912908,40.6431187,8.316228695,54.82209192,4.249744859,85.78646724,2.426536539,81.09489522,1.787684344,82.76300972,-0.207634841
62.74563577,11.18668787,43.14529044,7.972006964,57.25475889,4.687314856,88.60141046,2.540304739,83.38855266,2.067729142,85.26518146,0.019901558
63.57969302,11.58925227,45.64746219,7.7036307,59.20089247,4.879845654,91.1035822,2.479044939,85.68221009,2.33027114,87.76735321,0.08407849
64.41375027,12.00931947,47.73260531,7.231055103,60.72999742,5.031536587,93.60575394,2.41778514,88.18438183,2.36527674,90.26952495,0.066575691
65.24780751,12.41188386,49.69263984,6.681467187,62.32860715,5.562454849,96.10792569,2.610315938,90.68655358,2.388613806,92.56318238,0.282443556
66.08186476,12.81444826,50.86031999,6.618457108,64.93503605,5.734565715,98.61009743,2.639487271,93.18872532,2.522801939,94.85683982,0.422465955
66.91592201,13.23451546,51.90289155,7.266060703,66.49889339,6.39092071,101.1122692,2.621984471,95.69089706,2.388613806,97.35901156,0.294112089
67.74997926,13.61957706,52.7369488,8.176206296,67.62487067,6.982515345,103.6144409,2.721167004,98.19306881,2.178580208,99.8611833,0.08407849
68.79255082,14.10965545,52.52843448,7.6686251,69.3949255,7.478039057,106.1166127,3.047885935,100.6952406,2.073563409,102.363355,0.107415557
70.252151,14.61723665,53.86292608,8.94282893,70.87769394,7.397331702,108.2017558,2.977874735,102.988898,2.38978066,104.8655268,0.229935156
71.9202655,15.06355804,55.78125775,9.075850209,72.12877981,7.7286347,111.7464991,3.109145734,105.2825554,2.645321538,107.3676985,0.08407849
73.37986568,15.50987944,58.11661804,9.201870368,73.79689431,8.508759494,114.0401565,3.240416733,107.7847272,2.732835537,109.8698703,0.200763823
74.83946587,15.94744944,60.66049265,9.343059621,73.37986568,7.983675498,116.5423283,3.368770599,110.2868989,3.042051668,112.372042,0.404963155
76.92460899,16.3558481,63.16266439,9.553093219,74.94372302,9.02509209,119.0445,3.409610465,112.7890706,3.269588066,114.8742138,0.439968754
79.42678073,16.6008873,65.66483614,9.798132417,76.04884887,9.166864769,121.5466717,3.654649664,115.2912424,3.450450332,117.3763855,0.218266623
81.92895247,16.81675516,68.16700788,9.996497482,77.96718055,8.987169357,124.0488435,3.73049513,117.7934141,3.613809797,119.8785573,-0.032606842
84.43112422,17.06762863,70.66917963,10.18319401,79.21826642,8.60210776,126.7595295,4.045545527,120.2955859,3.765500729,122.380729,0.241603689
86.93329596,17.37101049,73.17135137,10.53325001,80.46935229,8.165704616,129.053187,4.383932991,122.7977576,3.917191662,124.8829007,0.439968754
89.4354677,17.64522102,75.67352311,10.56242134,82.20697156,7.598613901,131.5553587,4.634806456,125.2999294,3.940528728,127.3850725,0.574156887
91.93763945,17.93110009,77.27213284,9.745624018,84.2226099,7.445464402,134.0575305,4.804000188,127.8021011,4.115556727,129.8872442,0.848367418
94.43981119,18.24031622,77.75866623,9.296385488,85.8907244,7.061861371,136.5597022,5.066542186,130.3042729,4.232242059,132.389416,1.157583549
96.94198294,18.50869249,78.17569486,8.631279093,86.97499882,6.548445908,139.061874,5.107382053,132.8064446,4.226407793,134.8915877,1.361782881
98.61009743,18.74789742,78.59272348,8.123697897,88.55970759,5.911343993,141.5640457,5.229901652,135.3086163,4.401435791,137.3937595,1.344280081
99.23564037,19.37799821,79.84380935,7.726967766,88.97673622,5.617296955,144.0662174,5.47494085,137.8107881,4.669812056,139.8959312,1.542645146
99.8611833,19.92058501,81.72043816,7.458591502,91.52061082,5.760819914,146.5683892,5.795825514,140.3129598,4.850674321,142.3981029,1.472633947
100.6952406,20.445669,84.63963853,7.330237636,94.02278257,6.618457108,149.0705609,6.087538845,142.8151316,4.95569112,144.9002747,1.350114348
101.5292978,20.9007418,87.35032458,7.009352972,92.98021101,6.128378712,151.5727327,6.484268976,145.3173033,5.089879253,147.4024464,1.700170345
102.5718694,21.27413486,89.78299156,6.974347372,96.47282573,6.850369206,153.6578758,6.968513105,147.8194751,5.206564585,149.9046182,1.670999012
103.8229552,21.71753913,91.03407743,7.540271234,98.33207835,7.213552303,155.7430189,7.336071902,150.3216468,5.194896052,152.4067899,1.560147946
105.2825554,22.17844619,91.52061082,8.141200696,99.02712606,7.6686251,157.4111334,7.6336195,152.8238185,5.282410051,154.9089617,1.741010211
106.9506699,22.55475639,91.93763945,8.666284692,100.0696976,8.06535523,158.453705,8.030349631,155.3259903,5.270741518,157.2026191,1.934707863
108.2017558,22.93106659,92.35466807,9.278882688,102.1548407,8.373112795,159.4962765,8.421245494,157.828162,5.305747118,159.4962765,2.108569009
109.2443273,23.35113378,92.7716967,9.803966684,104.4484982,8.345400028,160.3303338,8.96383229,160.3303338,5.43993525,161.9984483,1.927706743
110.4954132,23.81787511,93.39723963,10.31738215,106.9208822,8.358735495,161.164391,9.523921886,162.8325055,5.428266717,164.50062,2.242757141
111.7464991,24.24961084,94.85683982,10.69660948,108.3060129,8.871942591,161.789934,9.961491883,165.3346773,5.469106583,167.0027918,2.458625006
112.997585,24.68134657,96.52495431,11.20419067,110.3390275,9.103854689,162.4154769,10.64410108,167.836849,5.49244365,169.5049635,2.376945273
114.4571851,25.12766797,98.19306881,11.65926347,112.6401319,9.293885088,163.1800294,11.26253334,170.3390208,5.719980048,172.0071352,2.423619406
